event_time,coef,p05,p50,p95,fisher_p
-9,-3.7945548141896044,-8.91054219373061,-0.42902518803438644,1.944965954890777,0.1722488038277512
-8,-3.569856671935403,-9.674283603947888,-0.6785675236492946,2.2238215965322956,0.18660287081339713
-7,-7.954647436317332,-9.240476465433087,-1.0765876031228734,1.6805860055501116,0.08133971291866028
-6,-11.874926707012587,-10.362139502968258,-2.0560472011801005,1.9662126805845366,0.023923444976076555
-5,-11.688759098773701,-9.08257754697017,-2.007822307710356,1.0831479310325562,0.014354066985645933
-4,-6.203498489895394,-3.68603330377936,-0.9529788139458967,1.9549128745892081,0.03349282296650718
-3,-0.5242370051874014,-1.837127967617971,0.15246530920328893,3.670972752375757,0.6076555023923444
-2,-2.169115040909463,-4.06623911262014,0.0007111019996781587,2.3782023637305816,0.19617224880382775
-1,0.0,0.0,0.0,0.0,
0,-1.095983405477858,-1.7481669445226835,-0.10583797737293814,4.2340387106045805,0.2631578947368421
1,-0.26407275951096254,-2.7307821877556067,0.08493241083642362,2.5939325423656943,0.7416267942583732
2,-2.0075267186794115,-3.7071793862698144,-0.5283250837084155,2.306799358368162,0.20095693779904306
3,-1.7251586749245096,-3.1915431036814237,-0.8904009077944985,2.205665910416468,0.2535885167464115
4,-0.3090959333791577,-3.9097933640617404,-0.3835302623121795,2.3444611059949114,0.84688995215311
5,1.0604214218549044,-2.8632765274861223,0.4629482734174397,3.100678832070133,0.5119617224880383
6,-3.042153069683862,-4.449936126747916,-0.4222377090556463,2.3908475427997065,0.14354066985645933
7,0.9973894645097747,-4.026422291658881,0.21660027631419018,2.745611982517322,0.6267942583732058
8,0.7242847632889647,-2.3999237805553926,0.3435915076889831,3.121224297883743,0.631578947368421
9,0.9456187985478623,-2.652672808360455,0.25693912429819776,3.3151109540873893,0.6650717703349283
10,-1.3276401256316328,-3.1790150548791667,0.4438152013027987,2.949282856863486,0.39712918660287083
