event_time,coef_raw,se,coef,parent_set,event
-18,-38151.71097892221,27442.08229321158,-16686.622009569448,top4,B_effective_jan2017
-17,206231.47562395045,27442.082293211657,227696.56459330322,top4,B_effective_jan2017
-16,38199.279451699826,27442.08229321111,59664.36842105258,top4,B_effective_jan2017
-15,-14213.758825810528,27442.08229321177,7251.330143542233,top4,B_effective_jan2017
-14,-19359.39997413741,27442.082293211748,2105.6889952153506,top4,B_effective_jan2017
-13,-24014.44303633834,27442.08229321136,-2549.3540669855793,top4,B_effective_jan2017
-12,-34928.62963921101,27442.082293212123,-13463.540669858248,top4,B_effective_jan2017
-11,-43250.15117030644,27442.082293211213,-21785.06220095368,top4,B_effective_jan2017
-10,-38543.06504590831,27442.08229321135,-17077.97607655555,top4,B_effective_jan2017
-9,-40610.57700762969,27442.082293211442,-19145.48803827693,top4,B_effective_jan2017
-8,-41204.59614638603,27442.082293211635,-19739.50717703327,top4,B_effective_jan2017
-7,-19575.54351480624,27442.082293210868,1889.5454545465218,top4,B_effective_jan2017
-6,-33619.443036337914,27442.08229321162,-12154.354066985154,top4,B_effective_jan2017
-5,138.24117418810783,27442.082293211508,21603.33014354087,top4,B_effective_jan2017
-4,-7238.954998060941,27442.082293211563,14226.13397129182,top4,B_effective_jan2017
-3,-23949.352127247395,27442.08229321164,-2484.263157894635,top4,B_effective_jan2017
-2,21226.403853614014,27442.08229321137,42691.49282296677,top4,B_effective_jan2017
-1,-21465.08896935276,27442.082293211603,0.0,top4,B_effective_jan2017
0,-40724.9310746132,27442.08229321149,-19259.842105260443,top4,B_effective_jan2017
1,-47889.45739040488,27442.08229321147,-26424.36842105212,top4,B_effective_jan2017
2,-41236.02676839507,27442.082293211504,-19770.937799042313,top4,B_effective_jan2017
3,-21079.758825806315,27442.08229321138,385.33014354644547,top4,B_effective_jan2017
4,-37333.562653562316,27442.082293211388,-15868.473684209555,top4,B_effective_jan2017
5,9200.757920605913,27442.082293211268,30665.846889958673,top4,B_effective_jan2017
6,2539.126341652979,27442.082293211475,24004.21531100574,top4,B_effective_jan2017
7,79954.43734643707,27442.08229321156,101419.52631578983,top4,B_effective_jan2017
8,93436.80576748983,27442.082293211417,114901.89473684259,top4,B_effective_jan2017
9,165137.56653303976,27442.082293211457,186602.65550239253,top4,B_effective_jan2017
10,29500.360791414147,27442.08229321164,50965.4497607669,top4,B_effective_jan2017
11,-17404.687055476836,27442.0822932115,4060.401913875925,top4,B_effective_jan2017
12,-16558.878443036363,27442.082293211624,4906.210526316398,top4,B_effective_jan2017
13,-13747.45260571603,27442.08229321165,7717.636363636731,top4,B_effective_jan2017
14,-34734.73011767677,27442.082293211613,-13269.641148324012,top4,B_effective_jan2017
15,-19628.76839518924,27442.082293211526,1836.320574163521,top4,B_effective_jan2017
16,-1261.438251649306,27442.08229321161,20203.650717703455,top4,B_effective_jan2017
17,7672.8440450019625,27442.082293211624,29137.933014354723,top4,B_effective_jan2017
18,88536.00193973762,27442.08229321167,110001.09090909037,top4,B_effective_jan2017
