ym,arm,spend_total,n_spots
2013-12-01,treated,1070.0,9
2014-01-01,other,3730.0,52
2014-01-01,placebo,0.0,13
2014-01-01,treated,4034.0,306
2014-02-01,other,1057.0,44
2014-02-01,placebo,0.0,20
2014-02-01,treated,8793.0,265
2014-03-01,other,91.0,29
2014-03-01,placebo,0.0,20
2014-03-01,treated,0.0,333
2014-04-01,other,0.0,41
2014-04-01,placebo,0.0,4
2014-04-01,treated,0.0,257
2014-05-01,other,0.0,29
2014-05-01,placebo,0.0,7
2014-05-01,treated,3483.0,260
2014-06-01,other,62.0,21
2014-06-01,placebo,0.0,32
2014-06-01,treated,46138.0,272
2014-07-01,other,590.0,19
2014-07-01,placebo,0.0,15
2014-07-01,treated,0.0,181
2014-08-01,placebo,0.0,23
2014-08-01,treated,280732.0,210
2014-09-01,placebo,0.0,14
2014-09-01,treated,27642.0,218
2014-10-01,treated,22310.0,217
2014-11-01,treated,37876.0,258
2014-12-01,other,0.0,9
2014-12-01,treated,31858.0,346
2015-01-01,treated,1096.0,218
2015-02-01,placebo,0.0,83
2015-02-01,treated,3724.0,244
2015-03-01,placebo,0.0,5
2015-03-01,treated,14631.0,325
2015-04-01,placebo,10693.0,14
2015-04-01,treated,29627.0,331
2015-05-01,placebo,6750.0,65
2015-05-01,treated,14250.0,356
2015-06-01,placebo,5935.0,24
2015-06-01,treated,68105.0,481
2015-07-01,placebo,787.0,68
2015-07-01,treated,10637.0,464
2015-08-01,placebo,3887.0,154
2015-08-01,treated,262986.0,379
2015-09-01,placebo,2241.0,55
2015-09-01,treated,88530.0,393
2015-10-01,treated,33483.0,351
2015-11-01,treated,26621.0,326
2015-12-01,other,0.0,5
2015-12-01,placebo,0.0,5
2015-12-01,treated,20687.0,532
2016-01-01,treated,9627.0,310
2016-02-01,treated,838.0,282
2016-03-01,treated,5855.0,390
2016-04-01,placebo,1026.0,5
2016-04-01,treated,5665.0,330
2016-05-01,placebo,7183.0,78
2016-05-01,treated,6818.0,436
2016-06-01,placebo,2971.0,65
2016-06-01,treated,30568.0,540
2016-07-01,other,3543.0,17
2016-07-01,placebo,6867.0,79
2016-07-01,treated,14266.0,509
2016-08-01,other,3056.0,26
2016-08-01,placebo,0.0,63
2016-08-01,treated,65153.0,391
2016-09-01,other,277.0,6
2016-09-01,placebo,0.0,22
2016-09-01,treated,48765.0,381
2016-10-01,other,0.0,3
2016-10-01,treated,24481.0,505
2016-11-01,other,0.0,1
2016-11-01,treated,80171.0,440
2016-12-01,other,0.0,3
2016-12-01,treated,23709.0,408
2017-01-01,other,1633.0,17
2017-01-01,treated,4306.0,239
2017-02-01,other,1798.0,34
2017-02-01,placebo,0.0,62
2017-02-01,treated,0.0,242
2017-03-01,other,0.0,4
2017-03-01,placebo,593.0,113
2017-03-01,treated,5265.0,484
2017-04-01,other,0.0,4
2017-04-01,placebo,0.0,33
2017-04-01,treated,29234.0,288
2017-05-01,other,0.0,9
2017-05-01,placebo,0.0,124
2017-05-01,treated,13385.0,787
2017-06-01,placebo,0.0,32
2017-06-01,treated,60355.0,614
2017-07-01,placebo,0.0,44
2017-07-01,treated,54284.0,518
2017-08-01,placebo,0.0,72
2017-08-01,treated,142091.0,284
2017-09-01,placebo,840.0,63
2017-09-01,treated,153557.0,463
2017-10-01,placebo,0.0,1
2017-10-01,treated,231012.0,490
2017-11-01,treated,90885.0,499
2017-12-01,treated,29891.0,432
