state,state_abbr,year,beer_rate_prev,beer_rate,delta,pct_change,has_footnote
Washington,WA,1983,0.0839,0.0897,0.0058,0.06912991656734206,False
Alaska,AK,1984,0.25,0.35,0.09999999999999998,0.3999999999999999,False
Connecticut,CT,1984,0.08,0.095,0.015,0.1875,False
Florida,FL,1984,0.4,0.48,0.07999999999999996,0.1999999999999999,False
New Hampshire,NH,1984,0.18,0.3,0.12,0.6666666666666666,False
New Mexico,NM,1984,0.09,0.18,0.09,1.0,False
Nevada,NV,1984,0.06,0.09,0.03,0.5,False
New York,NY,1984,0.044,0.055,0.011000000000000003,0.25000000000000006,False
Utah,UT,1984,0.13079,0.355,0.22421,1.714274791650738,False
Arizona,AZ,1985,0.08,0.16,0.08,1.0,False
Oklahoma,OK,1985,0.317,0.397,0.08000000000000002,0.2523659305993691,False
Texas,TX,1985,0.1587,0.19047,0.03176999999999999,0.20018903591682413,False
Mississippi,MS,1986,0.4268,0.47,0.04319999999999996,0.10121836925960628,False
Montana,MT,1986,0.127,0.1365,0.009500000000000008,0.07480314960629927,False
Nebraska,NE,1986,0.14,0.2,0.06,0.4285714285714285,False
Hawaii,HI,1987,0.0,0.81,0.81,inf,False
Iowa,IA,1987,0.14,0.19,0.04999999999999999,0.35714285714285704,False
Maine,ME,1987,0.3,0.35,0.04999999999999999,0.16666666666666663,False
Mississippi,MS,1987,0.47,0.4268,-0.04319999999999996,-0.0919148936170212,False
Hawaii,HI,1988,0.81,0.85,0.039999999999999925,0.049382716049382616,False
Minnesota,MN,1988,0.127,0.146,0.01899999999999999,0.14960629921259833,False
Nebraska,NE,1988,0.2,0.23,0.03,0.15,False
South Dakota,SD,1988,0.264,0.2698,0.005799999999999972,0.02196969696969686,False
Hawaii,HI,1989,0.85,0.89,0.040000000000000036,0.047058823529411806,False
Connecticut,CT,1990,0.095,0.19,0.095,1.0,False
District Of Columbia,DC,1990,0.07,0.09,0.01999999999999999,0.28571428571428553,False
New York,NY,1990,0.055,0.11,0.055,1.0,False
Ohio,OH,1990,0.079,0.111,0.032,0.4050632911392405,False
Rhode Island,RI,1990,0.0645,0.0952,0.030700000000000005,0.4759689922480621,False
Washington,WA,1990,0.0897,0.15426,0.06456,0.719732441471572,False
Delaware,DE,1991,0.06,0.16,0.1,1.6666666666666667,False
New Hampshire,NH,1991,0.3,0.35,0.04999999999999999,0.16666666666666663,False
New Jersey,NJ,1991,0.033,0.1,0.067,2.0303030303030303,False
New York,NY,1991,0.11,0.21,0.09999999999999999,0.9090909090909091,False
California,CA,1992,0.04,0.2,0.16,4.0,False
New Hampshire,NH,1992,0.35,0.3,-0.04999999999999999,-0.14285714285714282,False
New Jersey,NJ,1993,0.1,0.12,0.01999999999999999,0.1999999999999999,False
Ohio,OH,1993,0.111,0.18,0.06899999999999999,0.6216216216216215,False
Washington,WA,1993,0.15426,0.1852,0.030939999999999995,0.200570465447945,False
New Mexico,NM,1994,0.18,0.35,0.16999999999999998,0.9444444444444444,False
Hawaii,HI,1995,0.89,0.81,-0.07999999999999996,-0.08988764044943816,False
New Mexico,NM,1995,0.35,0.41,0.06,0.17142857142857143,False
Washington,WA,1995,0.1852,0.23135,0.04615,0.2491900647948164,False
Hawaii,HI,1996,0.81,0.9,0.08999999999999997,0.11111111111111106,False
New York,NY,1996,0.21,0.16,-0.04999999999999999,-0.23809523809523805,False
Hawaii,HI,1997,0.9,0.91,0.010000000000000009,0.01111111111111112,False
Washington,WA,1997,0.23135,0.3085,0.07715,0.33347741517181756,False
Hawaii,HI,1998,0.91,0.92,0.010000000000000009,0.010989010989010999,False
Washington,WA,1998,0.3085,0.26,-0.04849999999999999,-0.15721231766612637,False
Hawaii,HI,1999,0.92,0.93,0.010000000000000009,0.010869565217391313,False
New York,NY,1999,0.16,0.135,-0.024999999999999994,-0.15624999999999997,False
Illinois,IL,2000,0.07,0.185,0.11499999999999999,1.6428571428571426,False
North Carolina,NC,2000,0.53376,0.53177,-0.0019900000000000473,-0.003728267386091216,False
New York,NY,2002,0.135,0.125,-0.010000000000000009,-0.07407407407407414,False
Alaska,AK,2003,0.35,1.07,0.7200000000000001,2.0571428571428574,False
Tennessee,TN,2003,0.1258,0.13619,0.01039000000000001,0.0825914149443562,False
Nebraska,NE,2004,0.23,0.31,0.07999999999999999,0.3478260869565217,False
Nevada,NV,2004,0.09,0.16,0.07,0.7777777777777779,False
New York,NY,2004,0.125,0.11,-0.015,-0.12,False
Utah,UT,2004,0.355,0.4063,0.05130000000000001,0.14450704225352118,False
Illinois,IL,2010,0.185,0.231,0.04600000000000001,0.24864864864864872,False
North Carolina,NC,2010,0.53177,0.6171,0.08533000000000002,0.16046411042367945,False
New York,NY,2010,0.11,0.14,0.030000000000000013,0.2727272727272728,False
Washington,WA,2011,0.26,0.7606,0.5006,1.9253846153846155,False
Connecticut,CT,2012,0.19,0.24,0.04999999999999999,0.26315789473684204,False
Rhode Island,RI,2014,0.0952,0.1047,0.009499999999999995,0.09978991596638649,False
Tennessee,TN,2014,0.13619,1.15,1.0138099999999999,7.444085468830309,False
Washington,WA,2014,0.7606,0.26,-0.5006,-0.6581646068892979,False
Rhode Island,RI,2015,0.1047,0.1064,0.0016999999999999932,0.016236867239732503,False
Tennessee,TN,2016,1.15,1.29,0.14000000000000012,0.12173913043478272,False
Louisiana,LA,2017,0.32,0.403,0.08300000000000002,0.2593750000000001,False
Delaware,DE,2019,0.16,0.26,0.1,0.625,False
District Of Columbia,DC,2021,0.09,0.26,0.17,1.888888888888889,False
Delaware,DE,2021,0.26,0.09,-0.17,-0.6538461538461539,False
District Of Columbia,DC,2022,0.26,0.09,-0.17,-0.6538461538461539,False
Delaware,DE,2022,0.09,0.26,0.17,1.888888888888889,False
Texas,TX,2022,0.19047,0.193548,0.0030779999999999974,0.016160025200819012,False
Washington,WA,2022,0.26,0.2565,-0.003500000000000003,-0.013461538461538473,False
Arkansas,AR,2023,0.24,0.23,-0.009999999999999981,-0.04166666666666659,False
District Of Columbia,DC,2023,0.09,0.26,0.17,1.888888888888889,False
Delaware,DE,2023,0.26,0.09,-0.17,-0.6538461538461539,False
Georgia,GA,2023,1.01,0.85,-0.16000000000000003,-0.15841584158415845,True
Utah,UT,2023,0.4063,0.4226,0.01629999999999998,0.040118139305931534,False
